file,sheet,n_rows,n_cols
aec8873_data_s1.xlsx,F1A,5,3
aec8873_data_s1.xlsx,F1B,5,3
aec8873_data_s1.xlsx,F1C,5,4
aec8873_data_s1.xlsx,F1D,5,3
aec8873_data_s1.xlsx,F1E,2,3
aec8873_data_s1.xlsx,F1F,5,7
aec8873_data_s1.xlsx,F1G,4,7
aec8873_data_s1.xlsx,F1H,4,3
aec8873_data_s1.xlsx,F1I,5,4
aec8873_data_s2.xlsx,F2A,5,5
aec8873_data_s2.xlsx,F2B,5,3
aec8873_data_s2.xlsx,F2C,5,8
aec8873_data_s2.xlsx,F2D,5,11
aec8873_data_s2.xlsx,F2E,5,16
aec8873_data_s2.xlsx,F2F,5,21
aec8873_data_s2.xlsx,F2G,5,3
aec8873_data_s2.xlsx,F2H,5,13
aec8873_data_s2.xlsx,F2I,5,13
aec8873_data_s2.xlsx,F2J,5,3
aec8873_data_s2.xlsx,F2K,5,3
aec8873_data_s2.xlsx,F2L,5,3
aec8873_data_s3.xlsx,F4A,5,8
aec8873_data_s3.xlsx,F4B,5,8
aec8873_data_s4.xlsx,F4A,5,20
aec8873_data_s4.xlsx,F4B,5,10
aec8873_data_s4.xlsx,F4C,5,16
aec8873_data_s4.xlsx,F4D,5,8
aec8873_data_s4.xlsx,F4E,5,16
aec8873_data_s4.xlsx,F4G,5,9
aec8873_data_s4.xlsx,F4H,5,10
aec8873_data_s4.xlsx,F4I,5,7
aec8873_data_s4.xlsx,F4J,5,12
aec8873_data_s4.xlsx,F4K,4,16
aec8873_data_s4.xlsx,F4L,3,17
aec8873_data_s5.xlsx,F5A,5,14
aec8873_data_s5.xlsx,F5B,5,7
aec8873_data_s5.xlsx,F5C,5,12
aec8873_data_s5.xlsx,F5D,5,5
aec8873_data_s5.xlsx,F5E,5,3
aec8873_data_s5.xlsx,F5F,5,10
aec8873_data_s6.xlsx,F6B,5,5
aec8873_data_s6.xlsx,F6C,3,25
aec8873_data_s6.xlsx,F6D,5,6
aec8873_data_s6.xlsx,F6E,4,10
aec8873_data_s6.xlsx,F6F,5,17
aec8873_data_s6.xlsx,F6G,5,9
aec8873_data_s7.xlsx,SF1A,5,10
aec8873_data_s7.xlsx,SF1B,5,10
aec8873_data_s8.xlsx,S3A,4,8
aec8873_data_s8.xlsx,S3B,5,7
aec8873_data_s8.xlsx,S3C,5,9
aec8873_data_s9.xlsx,SF4A,5,3
aec8873_data_s9.xlsx,SF4B,5,10
aec8873_data_s9.xlsx,SF4C,5,18
aec8873_data_s9.xlsx,SF4D,5,12
aec8873_data_s9.xlsx,SF4E,5,3
aec8873_data_s10.xlsx,SF6A,5,8
aec8873_data_s10.xlsx,SF6B,5,8
aec8873_data_s11.xlsx,SF6A,5,3
aec8873_data_s11.xlsx,SF6B,5,16
aec8873_data_s11.xlsx,SF6C,5,8
aec8873_data_s11.xlsx,SF6D,5,22
aec8873_data_s11.xlsx,SF6E,5,11
aec8873_data_s11.xlsx,SF6F,5,3
aec8873_data_s11.xlsx,SF6G,5,8
aec8873_data_s11.xlsx,SF6H,5,8
aec8873_data_s12.xlsx,SF8A,5,7
aec8873_data_s12.xlsx,SF8B,5,7
aec8873_data_s12.xlsx,SF8C,5,9
aec8873_data_s13.xlsx,SF9A,5,18
aec8873_data_s13.xlsx,SF9B,5,12
aec8873_data_s14.xlsx,SF10,5,3
aec8873_data_s15.xlsx,ProteinGroups,5,62
aec8873_data_s15.xlsx,Peptides 1%FDR,5,60
aec8873_data_s15.xlsx,search summ,5,1
